#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,Boston Red Sox,AL,East,222171123,84,78,.519,3,7,15,235649368,David Price (5)
2,Chicago Cubs,NL,Central,210358488,84,78,.519,3,8,14,183463459,Jon Lester (12)
3,New York Yankees,AL,East,208084848,103,59,.636,1,2,3,168541038,Giancarlo Stanton (13)
4,Los Angeles Dodgers,NL,West,196729548,106,56,.654,1,1,2,186138211,Clayton Kershaw (5)
5,San Francisco Giants,NL,West,178286222,77,85,.475,3,10,18,208509901,Johnny Cueto (22)
6,St. Louis Cardinals,NL,Central,162830430,91,71,.562,1,4,10,161005146,Yadier Molina (36)
7,Washington Nationals,NL,East,161877935,93,69,.574,2,3,9,181586759,Max Scherzer (1)
8,Houston Astros,AL,West,160774666,107,55,.660,1,1,1,159529730,Justin Verlander (9)
9,Los Angeles Angels,AL,West,159378583,72,90,.444,4,11,22,174592209,Mike Trout (3)
10,New York Mets,NL,East,158999270,86,76,.531,3,6,12,155765125,Robinson Cano (18)
11,Seattle Mariners,AL,West,150906143,69,84,.451,5,9,20,162480174,Yoenis Cespedes (8)
12,Colorado Rockies,NL,West,147433009,71,91,.438,4,12,23,141339833,Nolan Arenado (13)
13,Philadelphia Phillies,NL,East,140711962,81,81,.500,4,9,16,96848371,Jake Arrieta (15)
14,Texas Rangers,AL,West,127660652,78,84,.481,3,8,17,144498078,Jacoby Ellsbury (30)
15,Cincinnati Reds,NL,Central,126423214,75,87,.463,4,11,19,101185579,Joey Votto (15)
16,Milwaukee Brewers,NL,Central,124755400,89,73,.549,2,5,11,90237112,Yasmani Grandal (55)
17,Arizona Diamondbacks,NL,West,123932983,85,77,.525,2,7,13,132495446,Zack Greinke (4)
18,Minnesota Twins,AL,Central,121276933,101,61,.623,1,3,4,131374996,Nelson Cruz (85)
19,Cleveland Baseball Team,AL,Central,119241701,93,69,.574,2,6,8,137346173,Carlos Santana (35)
20,Detroit Tigers,AL,Central,116478400,47,114,.292,5,15,30,129917192,Miguel Cabrera (7)
21,Atlanta Braves,NL,East,113778369,97,65,.599,1,2,5,120542785,Josh Donaldson (21)
22,Toronto Blue Jays,AL,East,112037006,67,95,.414,4,12,26,162664502,Justin Smoak (171)
23,Kansas City Royals,AL,Central,100658316,59,103,.364,4,13,27,129967987,Alex Gordon (36)
24,San Diego Padres,NL,West,99205017,70,92,.432,5,13,24,96131798,Eric Hosmer (25)
25,Oakland Athletics,AL,West,92318333,97,65,.599,2,4,6,68534631,Khris Davis (64)
26,Chicago White Sox,AL,Central,89354534,72,89,.447,3,10,21,72177640,Jose Abreu (67)
27,Pittsburgh Pirates,NL,Central,76589154,69,93,.426,5,14,25,87860654,Francisco Cervelli (117)
28,Baltimore Orioles,AL,East,72722906,54,108,.333,5,14,29,143600045,Chris Davis (32)
29,Miami Marlins,NL,East,72449404,57,105,.352,5,15,28,98826644,Wei-Yin Chen (44)
30,Tampa Bay Rays,AL,East,60444931,96,66,.593,2,5,7,78231049,Charlie Morton (77)
